date,revpar,change,type
12-01-01,60.63,-4.20%,hotel
12-02-01,75.18,4.80%,hotel
12-03-01,91.27,16.40%,hotel
12-04-01,81.59,12.90%,hotel
12-05-01,99.89,-0.60%,hotel
12-06-01,93.57,-8.70%,hotel
12-07-01,111.45,-2.00%,hotel
12-08-01,119.19,-0.50%,hotel
12-09-01,97.48,0.70%,hotel
12-01-01,58.29,5.80%,comp
12-02-01,64.72,-5.50%,comp
12-03-01,72.34,7.20%,comp
12-04-01,73.8,4.50%,comp
12-05-01,93.17,-7.10%,comp
12-06-01,89.6,-10.30%,comp
12-07-01,98.22,-6.50%,comp
12-08-01,103.59,-3.20%,comp
12-09-01,88.88,-5.70%,comp
