date,amount,type
12-07-01,60.49,Forecast
12-07-02,50.01,Forecast
12-07-03,52.88,Forecast
12-07-04,148.78,Forecast
12-07-05,152.87,Forecast
12-07-06,150.37,Forecast
12-07-07,151.89,Forecast
12-07-08,114.47,Forecast
12-07-09,109.9,Forecast
12-07-10,128.08,Forecast
12-07-11,123.6,Forecast
12-07-12,131.54,Forecast
12-07-13,130.78,Forecast
12-07-14,134.64,Forecast
12-07-15,79.44,Forecast
12-07-16,102.69,Forecast
12-07-17,123.18,Forecast
12-07-18,124.45,Forecast
12-07-19,117.7,Forecast
12-07-20,138.73,Forecast
12-07-21,143.16,Forecast
12-07-22,98.42,Forecast
12-07-23,125.5,Forecast
12-07-24,135.53,Forecast
12-07-25,134.12,Forecast
12-07-26,131.47,Forecast
12-07-27,139.37,Forecast
12-07-28,125.86,Forecast
12-07-29,76.77,Forecast
12-07-30,87.8,Forecast
12-07-31,136.4,Forecast
12-08-01,103.76,Forecast
12-08-02,96.04,Forecast
12-08-03,94.11,Forecast
12-08-04,130.94,Forecast
12-08-05,111.07,Forecast
12-08-06,116.08,Forecast
12-08-07,140.25,Forecast
12-08-08,133.95,Forecast
12-08-09,140.82,Forecast
12-08-10,133.68,Forecast
12-08-11,125.78,Forecast
12-08-12,119.87,Forecast
12-08-13,124.8,Forecast
12-08-14,132.67,Forecast
12-08-15,123.73,Forecast
12-08-16,91.74,Forecast
12-08-17,89.39,Forecast
12-08-18,99.39,Forecast
12-08-19,110.48,Forecast
12-08-20,131.95,Forecast
12-08-21,126.59,Forecast
12-08-22,131.69,Forecast
12-08-23,117.91,Forecast
12-08-24,116.05,Forecast
12-08-25,117.63,Forecast
12-08-26,73.8,Forecast
12-08-27,73.5,Forecast
12-08-28,52.49,Forecast
12-08-29,110.59,Forecast
12-08-30,83.93,Forecast
12-08-31,96.19,Forecast
12-09-01,112.95,Forecast
12-09-02,85.39,Forecast
12-09-03,49.18,Forecast
12-09-04,84.74,Forecast
12-09-05,88.16,Forecast
12-09-06,86.96,Forecast
12-09-07,84.74,Forecast
12-09-08,93.15,Forecast
12-09-09,75.82,Forecast
12-09-10,90.1,Forecast
12-09-11,82.49,Forecast
12-09-12,108.24,Forecast
12-09-13,88.22,Forecast
12-09-14,106.06,Forecast
12-09-15,115.98,Forecast
12-09-16,102.25,Forecast
12-09-17,111.14,Forecast
12-09-18,111.27,Forecast
12-09-19,115.98,Forecast
12-09-20,112.23,Forecast
12-09-21,119.95,Forecast
12-09-22,119.82,Forecast
12-09-23,122.4,Forecast
12-09-24,112.94,Forecast
12-09-25,111.21,Forecast
12-09-26,111.26,Forecast
12-09-27,81.16,Forecast
12-09-28,84.87,Forecast
12-09-29,89.48,Forecast
12-09-30,66.79,Forecast
12-07-01,72.39,Actual
12-07-02,55.42,Actual
12-07-03,60.46,Actual
12-07-04,148.1,Actual
12-07-05,151.53,Actual
12-07-06,147.04,Actual
12-07-07,143.51,Actual
12-07-08,95.15,Actual
12-07-09,80.23,Actual
12-07-10,110.21,Actual
12-07-11,108.96,Actual
12-07-12,92.9,Actual
12-07-13,113.16,Actual
12-07-14,110.66,Actual
12-07-15,71.07,Actual
12-07-16,95.89,Actual
12-07-17,129.15,Actual
12-07-18,117.12,Actual
12-07-19,129.95,Actual
12-07-20,139.57,Actual
12-07-21,137.87,Actual
12-07-22,94.64,Actual
12-07-23,101.79,Actual
12-07-24,130.82,Actual
12-07-25,133.03,Actual
12-07-26,127.71,Actual
12-07-27,126.82,Actual
12-07-28,124.81,Actual
12-07-29,91.09,Actual
12-07-30,98.96,Actual
12-07-31,116.31,Actual
12-08-01,102.94,Actual
12-08-02,98.46,Actual
12-08-03,124.82,Actual
12-08-04,139.65,Actual
12-08-05,108.97,Actual
12-08-06,93.76,Actual
12-08-07,96,Actual
12-08-08,120.09,Actual
12-08-09,136.01,Actual
12-08-10,133.18,Actual
12-08-11,131.35,Actual
12-08-12,108.92,Actual
12-08-13,127.7,Actual
12-08-14,132.49,Actual
12-08-15,131.67,Actual
12-08-16,128.71,Actual
12-08-17,126.38,Actual
12-08-18,132.99,Actual
12-08-19,121.01,Actual
12-08-20,127.72,Actual
12-08-21,137.44,Actual
12-08-22,133.88,Actual
12-08-23,133.24,Actual
12-08-24,139.06,Actual
12-08-25,143.18,Actual
12-08-26,74.13,Actual
12-08-27,95.18,Actual
12-08-28,111.81,Actual
12-08-29,103.94,Actual
12-08-30,102.69,Actual
12-08-31,127.67,Actual
12-09-01,120.65,Actual
12-09-02,86.91,Actual
12-09-03,58.41,Actual
12-09-04,101.56,Actual
12-09-05,102.52,Actual
12-09-06,106.4,Actual
12-09-07,82.37,Actual
12-09-08,80.17,Actual
12-09-09,78.62,Actual
12-09-10,97.09,Actual
12-09-11,108.32,Actual
12-09-12,112.85,Actual
12-09-13,93.22,Actual
12-09-14,93.35,Actual
12-09-15,105.91,Actual
12-09-16,114.71,Actual
12-09-17,103.72,Actual
12-09-18,119.91,Actual
12-09-19,111.83,Actual
12-09-20,116.35,Actual
12-09-21,101.08,Actual
12-09-22,114.2,Actual
12-09-23,105.63,Actual
12-09-24,108.35,Actual
12-09-25,118.47,Actual
12-09-26,97.54,Actual
12-09-27,66.95,Actual
12-09-28,74.11,Actual
12-09-29,89.09,Actual
12-09-30,58.01,Actual
